alternative_id,alternative,license,maturity_level,source_confidence,implementation_ease,maturity,provider_portability,sandbox_isolation,persistence_memory,multi_agent,human_control,ci_pr,observability,security_governance,extensibility,deployment_flexibility,coding_fit,research_reproducibility
aider,Aider,Apache-2.0,production,0.96,4.7,4.5,4.7,2.4,2.8,1.8,4.5,3.3,2.4,3.0,3.8,3.8,4.8,4.0
anchor,Anchor,MIT,alpha,0.55,4.0,1.0,1.5,1.4,1.2,0.5,4.0,1.2,1.0,2.0,2.0,2.0,2.8,1.3
cline,Cline / Cline SDK,Apache-2.0,production,0.96,4.2,4.5,4.7,2.8,4.0,4.2,4.8,4.5,4.0,4.2,4.7,4.5,4.7,3.4
codex_cli,Codex CLI,Apache-2.0,production,0.98,4.2,4.5,2.0,4.7,3.4,4.0,4.3,4.6,3.8,4.8,4.2,4.0,4.8,3.6
deep_agents,Deep Agents,MIT,beta,0.95,3.6,3.5,4.7,4.0,4.6,4.6,4.1,3.4,4.6,4.1,4.7,4.2,4.1,4.0
flue,Flue,Apache-2.0,beta,0.95,3.4,3.0,4.6,4.2,4.0,4.0,3.2,4.0,4.3,3.8,4.6,4.5,4.0,3.2
goose,goose,Apache-2.0,production,0.95,4.3,4.2,4.8,3.2,3.4,2.6,4.2,4.1,2.8,3.5,4.8,4.3,4.1,3.2
mini_swe_agent,mini-SWE-agent,MIT,beta,0.93,4.6,3.4,4.7,3.8,1.8,1.0,2.7,2.8,2.2,3.0,4.0,4.1,4.4,4.9
omni_agent,Omni Agent,MIT,alpha,0.55,2.4,1.0,3.5,3.1,3.2,3.5,3.5,3.4,3.0,4.0,3.4,2.7,3.0,1.8
omniagent,OmniAgent,MIT,alpha,0.55,3.2,0.8,4.0,1.7,2.6,3.0,3.7,1.5,1.5,2.1,3.2,2.2,3.0,1.5
omnigent,Omnigent,Apache-2.0,alpha,0.75,2.8,2.0,4.8,4.2,4.0,4.5,4.7,4.1,4.0,4.5,4.6,4.0,4.1,3.0
open_swe,Open SWE,MIT,beta,0.92,2.7,3.0,3.8,4.7,4.1,4.6,3.2,4.8,4.6,4.4,4.2,3.8,4.6,4.0
opencode,OpenCode,MIT,production,0.97,4.4,4.3,4.8,2.6,3.5,3.8,4.3,4.2,2.8,3.3,4.5,4.2,4.7,3.5
openhands_agent_canvas,OpenHands Agent Canvas,MIT,beta,0.85,3.6,3.0,4.7,3.8,4.2,4.5,4.4,4.2,3.7,4.0,4.1,4.6,4.3,3.0
openhands_sdk,OpenHands Software Agent SDK,MIT,production,0.96,3.8,4.0,4.8,4.3,4.2,4.1,4.0,4.0,3.8,4.2,4.5,4.4,4.6,4.2
sandcastle,Sandcastle,MIT,beta,0.9,3.2,2.8,3.7,4.6,2.8,3.2,3.8,4.1,2.7,3.8,4.1,3.8,4.2,3.0
swe_agent,SWE-agent,MIT,production,0.94,3.2,4.0,4.6,4.3,2.5,2.0,3.1,3.3,4.0,3.8,4.0,4.0,4.5,4.8
