category,rank,alternative_id,alternative,score
adoption_readiness,1,cline,Cline / Cline SDK,4.3999999999999995
adoption_readiness,2,aider,Aider,4.333333333333333
adoption_readiness,3,opencode,OpenCode,4.3
adoption_readiness,4,goose,goose,4.266666666666667
adoption_readiness,5,codex_cli,Codex CLI,4.233333333333333
adoption_readiness,6,openhands_sdk,OpenHands Software Agent SDK,4.066666666666666
adoption_readiness,7,mini_swe_agent,mini-SWE-agent,4.033333333333333
adoption_readiness,8,deep_agents,Deep Agents,3.766666666666667
adoption_readiness,9,openhands_agent_canvas,OpenHands Agent Canvas,3.733333333333333
adoption_readiness,10,swe_agent,SWE-agent,3.733333333333333
adoption_readiness,11,flue,Flue,3.6333333333333333
adoption_readiness,12,sandcastle,Sandcastle,3.266666666666667
adoption_readiness,13,open_swe,Open SWE,3.1666666666666665
adoption_readiness,14,omnigent,Omnigent,2.9333333333333336
adoption_readiness,15,anchor,Anchor,2.3333333333333335
adoption_readiness,16,omniagent,OmniAgent,2.066666666666667
adoption_readiness,17,omni_agent,Omni Agent,2.033333333333333
agent_architecture,1,deep_agents,Deep Agents,4.54
agent_architecture,2,cline,Cline / Cline SDK,4.46
agent_architecture,3,openhands_sdk,OpenHands Software Agent SDK,4.4399999999999995
agent_architecture,4,omnigent,Omnigent,4.4
agent_architecture,5,openhands_agent_canvas,OpenHands Agent Canvas,4.36
agent_architecture,6,open_swe,Open SWE,4.26
agent_architecture,7,opencode,OpenCode,4.26
agent_architecture,8,flue,Flue,4.24
agent_architecture,9,goose,goose,3.94
agent_architecture,10,codex_cli,Codex CLI,3.6799999999999997
agent_architecture,11,sandcastle,Sandcastle,3.6
agent_architecture,12,aider,Aider,3.5799999999999996
agent_architecture,13,swe_agent,SWE-agent,3.5200000000000005
agent_architecture,14,omni_agent,Omni Agent,3.3200000000000003
agent_architecture,15,mini_swe_agent,mini-SWE-agent,3.18
agent_architecture,16,omniagent,OmniAgent,3.16
agent_architecture,17,anchor,Anchor,1.6
execution_safety,1,codex_cli,Codex CLI,4.6000000000000005
execution_safety,2,omnigent,Omnigent,4.466666666666667
execution_safety,3,openhands_sdk,OpenHands Software Agent SDK,4.166666666666667
execution_safety,4,open_swe,Open SWE,4.1000000000000005
execution_safety,5,deep_agents,Deep Agents,4.066666666666666
execution_safety,6,openhands_agent_canvas,OpenHands Agent Canvas,4.066666666666666
execution_safety,7,sandcastle,Sandcastle,4.066666666666666
execution_safety,8,cline,Cline / Cline SDK,3.9333333333333336
execution_safety,9,flue,Flue,3.733333333333333
execution_safety,10,swe_agent,SWE-agent,3.733333333333333
execution_safety,11,goose,goose,3.6333333333333333
execution_safety,12,omni_agent,Omni Agent,3.533333333333333
execution_safety,13,opencode,OpenCode,3.4
execution_safety,14,aider,Aider,3.3000000000000003
execution_safety,15,mini_swe_agent,mini-SWE-agent,3.1666666666666665
execution_safety,16,omniagent,OmniAgent,2.5
execution_safety,17,anchor,Anchor,2.466666666666667
operations,1,open_swe,Open SWE,4.3999999999999995
operations,2,cline,Cline / Cline SDK,4.333333333333333
operations,3,flue,Flue,4.266666666666667
operations,4,openhands_agent_canvas,OpenHands Agent Canvas,4.166666666666667
operations,5,codex_cli,Codex CLI,4.133333333333333
operations,6,deep_agents,Deep Agents,4.066666666666666
operations,7,openhands_sdk,OpenHands Software Agent SDK,4.066666666666666
operations,8,omnigent,Omnigent,4.033333333333333
operations,9,swe_agent,SWE-agent,3.766666666666667
operations,10,opencode,OpenCode,3.733333333333333
operations,11,goose,goose,3.733333333333333
operations,12,sandcastle,Sandcastle,3.533333333333333
operations,13,aider,Aider,3.1666666666666665
operations,14,omni_agent,Omni Agent,3.033333333333333
operations,15,mini_swe_agent,mini-SWE-agent,3.033333333333333
operations,16,omniagent,OmniAgent,1.7333333333333334
operations,17,anchor,Anchor,1.4000000000000001
research_fit,1,deep_agents,Deep Agents,4.225
research_fit,2,openhands_sdk,OpenHands Software Agent SDK,4.15
research_fit,3,swe_agent,SWE-agent,4.15
research_fit,4,mini_swe_agent,mini-SWE-agent,4.1
research_fit,5,cline,Cline / Cline SDK,4.075
research_fit,6,aider,Aider,3.95
research_fit,7,flue,Flue,3.875
research_fit,8,opencode,OpenCode,3.875
research_fit,9,open_swe,Open SWE,3.775
research_fit,10,goose,goose,3.775
research_fit,11,openhands_agent_canvas,OpenHands Agent Canvas,3.75
research_fit,12,omnigent,Omnigent,3.65
research_fit,13,codex_cli,Codex CLI,3.4
research_fit,14,sandcastle,Sandcastle,3.1500000000000004
research_fit,15,omni_agent,Omni Agent,2.675
research_fit,16,omniagent,OmniAgent,2.55
research_fit,17,anchor,Anchor,1.95
