scenario,rank,alternative_id,alternative,score
custom_orchestrator_platform,1,cline,Cline / Cline SDK,4.236764705882353
custom_orchestrator_platform,2,openhands_sdk,OpenHands Software Agent SDK,4.236029411764706
custom_orchestrator_platform,3,deep_agents,Deep Agents,4.213970588235294
custom_orchestrator_platform,4,open_swe,Open SWE,4.089705882352941
custom_orchestrator_platform,5,openhands_agent_canvas,OpenHands Agent Canvas,4.058088235294117
custom_orchestrator_platform,6,codex_cli,Codex CLI,4.047794117647059
custom_orchestrator_platform,7,omnigent,Omnigent,4.026470588235294
custom_orchestrator_platform,8,flue,Flue,4.005147058823529
custom_orchestrator_platform,9,opencode,OpenCode,3.923529411764706
custom_orchestrator_platform,10,goose,goose,3.8323529411764703
custom_orchestrator_platform,11,swe_agent,SWE-agent,3.709558823529412
custom_orchestrator_platform,12,sandcastle,Sandcastle,3.5933823529411764
custom_orchestrator_platform,13,aider,Aider,3.5323529411764705
custom_orchestrator_platform,14,mini_swe_agent,mini-SWE-agent,3.361764705882353
custom_orchestrator_platform,15,omni_agent,Omni Agent,3.0330882352941178
custom_orchestrator_platform,16,omniagent,OmniAgent,2.486029411764706
custom_orchestrator_platform,17,anchor,Anchor,1.788970588235294
secure_autonomous_prs,1,codex_cli,Codex CLI,4.221014492753623
secure_autonomous_prs,2,openhands_sdk,OpenHands Software Agent SDK,4.19927536231884
secure_autonomous_prs,3,cline,Cline / Cline SDK,4.1985507246376805
secure_autonomous_prs,4,open_swe,Open SWE,4.142028985507246
secure_autonomous_prs,5,deep_agents,Deep Agents,4.110869565217391
secure_autonomous_prs,6,openhands_agent_canvas,OpenHands Agent Canvas,4.015217391304347
secure_autonomous_prs,7,omnigent,Omnigent,4.003623188405797
secure_autonomous_prs,8,flue,Flue,3.929710144927536
secure_autonomous_prs,9,opencode,OpenCode,3.8376811594202898
secure_autonomous_prs,10,goose,goose,3.7804347826086957
secure_autonomous_prs,11,swe_agent,SWE-agent,3.752173913043478
secure_autonomous_prs,12,sandcastle,Sandcastle,3.6586956521739125
secure_autonomous_prs,13,aider,Aider,3.507246376811594
secure_autonomous_prs,14,mini_swe_agent,mini-SWE-agent,3.3188405797101446
secure_autonomous_prs,15,omni_agent,Omni Agent,3.0355072463768114
secure_autonomous_prs,16,omniagent,OmniAgent,2.300724637681159
secure_autonomous_prs,17,anchor,Anchor,1.8231884057971013
quick_local_coding,1,cline,Cline / Cline SDK,4.363114754098361
quick_local_coding,2,openhands_sdk,OpenHands Software Agent SDK,4.224590163934426
quick_local_coding,3,opencode,OpenCode,4.131147540983607
quick_local_coding,4,deep_agents,Deep Agents,4.0983606557377055
quick_local_coding,5,codex_cli,Codex CLI,4.090983606557377
quick_local_coding,6,goose,goose,4.028688524590164
