alternative_id,alternative,repo,ok,error,dataset_stars,live_stars,star_delta,dataset_last_pushed_at,live_last_pushed_at,dataset_license,live_license,license_matches,archived,latest_release_tag,latest_release_error
aider,Aider,Aider-AI/aider,True,,47082,47333,251,2026-05-22,2026-05-22,Apache-2.0,Apache-2.0,True,False,v0.86.0,
anchor,Anchor,mjenkinsx9/anchor,True,,0,0,0,2026-06-17,2026-06-17,MIT,MIT,True,False,v0.3.0,
cline,Cline / Cline SDK,cline/cline,True,,64315,64598,283,2026-07-05,2026-07-13,Apache-2.0,Apache-2.0,True,False,v4.0.8,
codex_cli,Codex CLI,openai/codex,True,,95651,97578,1927,2026-07-05,2026-07-13,Apache-2.0,Apache-2.0,True,False,rust-v0.144.3,
deep_agents,Deep Agents,langchain-ai/deepagents,True,,25715,26170,455,2026-07-05,2026-07-13,MIT,MIT,True,False,deepagents==0.6.12,
flue,Flue,withastro/flue,True,,7104,7261,157,2026-07-04,2026-07-13,Apache-2.0,Apache-2.0,True,False,,not_found
goose,goose,aaif-goose/goose,True,,50679,51143,464,2026-07-05,2026-07-13,Apache-2.0,Apache-2.0,True,False,v1.41.0,
mini_swe_agent,mini-SWE-agent,SWE-agent/mini-swe-agent,True,,5578,5749,171,2026-07-02,2026-07-06,MIT,MIT,True,False,v2.4.5,
omni_agent,Omni Agent,2830500285/omni-agent,True,,1,1,0,2026-05-16,2026-05-16,MIT,MIT,True,False,,not_found
omniagent,OmniAgent,xianyu-sheng/omniagent,True,,0,1,1,2026-06-29,2026-07-13,MIT,MIT,True,False,v0.4.0,
omnigent,Omnigent,omnigent-ai/omnigent,True,,6304,7174,870,2026-07-05,2026-07-13,Apache-2.0,Apache-2.0,True,False,v0.5.1,
open_swe,Open SWE,langchain-ai/open-swe,True,,10107,10283,176,2026-07-05,2026-07-12,MIT,MIT,True,False,,not_found
opencode,OpenCode,anomalyco/opencode,True,,182587,185282,2695,2026-07-05,2026-07-13,MIT,MIT,True,False,v1.17.18,
openhands_agent_canvas,OpenHands Agent Canvas,OpenHands/agent-canvas,True,,141,177,36,2026-07-05,2026-07-13,MIT,MIT,True,False,v1.2.1,
openhands_sdk,OpenHands Software Agent SDK,OpenHands/software-agent-sdk,True,,865,890,25,2026-07-05,2026-07-13,MIT,MIT,True,False,v1.35.0,
sandcastle,Sandcastle,mattpocock/sandcastle,True,,6638,6790,152,2026-06-29,2026-06-29,MIT,MIT,True,False,v0.12.0,
swe_agent,SWE-agent,SWE-agent/SWE-agent,True,,19705,19790,85,2026-07-01,2026-07-07,MIT,MIT,True,False,v1.1.0,
