scenario,alternative_id,alternative,mean_score,p10_score,p90_score,mean_rank,win_rate,top3_rate,trials
custom_orchestrator_platform,openhands_sdk,OpenHands Software Agent SDK,4.232597998558428,4.131913096510936,4.332315869304199,2.2516,0.327,0.8508,5000
custom_orchestrator_platform,cline,Cline / Cline SDK,4.229387065942367,4.1241746520605105,4.334817841459675,2.335,0.3118,0.8304,5000
custom_orchestrator_platform,deep_agents,Deep Agents,4.182216365187147,4.013716528611157,4.347560184992631,3.2244,0.2306,0.617,5000
custom_orchestrator_platform,open_swe,Open SWE,4.05397910142457,3.8803035653028077,4.225993503698233,5.3806,0.0432,0.2168,5000
custom_orchestrator_platform,openhands_agent_canvas,OpenHands Agent Canvas,4.026536671525487,3.837918125467353,4.210780430116899,5.8338,0.0354,0.1792,5000
custom_orchestrator_platform,omnigent,Omnigent,3.9091009253049784,3.6279507170180096,4.1798989069678605,7.6578,0.0312,0.112,5000
custom_orchestrator_platform,flue,Flue,3.991749793857742,3.8181109902745236,4.159274814508304,6.4578,0.0146,0.097,5000
custom_orchestrator_platform,codex_cli,Codex CLI,4.038956085086407,3.9303506895361418,4.145073032454792,5.6518,0.0062,0.0896,5000
custom_orchestrator_platform,opencode,OpenCode,3.9193809823945105,3.8072522563857736,4.028581306903707,7.7756,0.0,0.0066,5000
custom_orchestrator_platform,goose,goose,3.822900960374783,3.704724395883813,3.9371577978985126,9.323,0.0,0.0004,5000
custom_orchestrator_platform,omni_agent,Omni Agent,3.0075939402159273,2.634153341884313,3.3817681073979187,14.8464,0.0,0.0002,5000
custom_orchestrator_platform,swe_agent,SWE-agent,3.7074826939514125,3.5855210924230896,3.8309830028218395,10.8098,0.0,0.0,5000
custom_orchestrator_platform,sandcastle,Sandcastle,3.583728641967148,3.3948663500377854,3.771862040450082,12.02,0.0,0.0,5000
custom_orchestrator_platform,aider,Aider,3.5238320922734667,3.3983328682295117,3.6498040588840284,12.6646,0.0,0.0,5000
custom_orchestrator_platform,mini_swe_agent,mini-SWE-agent,3.341523568464883,3.150345185260038,3.5347161702407903,13.8816,0.0,0.0,5000
custom_orchestrator_platform,omniagent,OmniAgent,2.4919128373835373,2.1083633465913896,2.8695246765819062,15.9484,0.0,0.0,5000
custom_orchestrator_platform,anchor,Anchor,1.839427935061061,1.478438851101561,2.199341139313436,16.9378,0.0,0.0,5000
secure_autonomous_prs,codex_cli,Codex CLI,4.2100876311080855,4.10767602760951,4.309178780701339,2.549,0.2844,0.7592,5000
secure_autonomous_prs,cline,Cline / Cline SDK,4.190884662496266,4.0773736314914055,4.301470861985916,2.898,0.2318,0.6656,5000
secure_autonomous_prs,openhands_sdk,OpenHands Software Agent SDK,4.195233892249816,4.092414580357512,4.298466067034806,2.8302,0.2086,0.6894,5000
secure_autonomous_prs,open_swe,Open SWE,4.102274639108296,3.9266867153483545,4.272271103239957,4.4056,0.1048,0.3372,5000
secure_autonomous_prs,deep_agents,Deep Agents,4.084952704124893,3.9141748013933384,4.255419868164537,4.7124,0.0858,0.2804,5000
secure_autonomous_prs,omnigent,Omnigent,3.8858379637395455,3.581615520618586,4.1792066479700045,7.7518,0.0436,0.1054,5000
secure_autonomous_prs,openhands_agent_canvas,OpenHands Agent Canvas,3.990585477240529,3.7857095029781824,4.193250051872055,6.2378,0.0362,0.1294,5000
secure_autonomous_prs,flue,Flue,3.9162969868822843,3.743892949673167,4.08534069269111,7.4116,0.0046,0.0318,5000
secure_autonomous_prs,sandcastle,Sandcastle,3.6491575059762615,3.450218443073869,3.8400368078134672,11.2564,0.0002,0.0012,5000
secure_autonomous_prs,opencode,OpenCode,3.837439963169539,3.724725461420504,3.952356907291287,8.6618,0.0,0.0004,5000
secure_autonomous_prs,goose,goose,3.7782823366621203,3.6642205811181214,3.891259483215368,9.657,0.0,0.0,5000
secure_autonomous_prs,swe_agent,SWE-agent,3.749083247045277,3.6277768644864614,3.8677247009257307,10.0924,0.0,0.0,5000
secure_autonomous_prs,aider,Aider,3.503097700282372,3.378250804739598,3.624586220446496,12.8412,0.0,0.0,5000
secure_autonomous_prs,mini_swe_agent,mini-SWE-agent,3.3022224511118345,3.1088740338159218,3.4935613077326395,13.9974,0.0,0.0,5000
secure_autonomous_prs,omni_agent,Omni Agent,3.0089826734609337,2.6250114591318674,3.3873156419450035,14.7564,0.0,0.0,5000
secure_autonomous_prs,omniagent,OmniAgent,2.3122955013015014,1.9176056905785226,2.7018373564604277,16.0976,0.0,0.0,5000
secure_autonomous_prs,anchor,Anchor,1.8748513312290827,1.4903320405805849,2.2525980797152667,16.8434,0.0,0.0,5000
quick_local_coding,cline,Cline / Cline SDK,4.351219100233981,4.243346453301242,4.454918115373943,1.2358,0.8194,0.9892,5000
quick_local_coding,openhands_sdk,OpenHands Software Agent SDK,4.220695646999637,4.11085187973055,4.329928677213928,2.607,0.1098,0.8166,5000
quick_local_coding,deep_agents,Deep Agents,4.076516288705569,3.897945702153528,4.25083696477566,5.2442,0.032,0.2818,5000
