operating_profile,operating_profile_name,alternative_id,alternative,monthly_task_volume,review_hours,admin_hours,governance_hours,failure_buffer_hours,monthly_operational_hours,hours_per_task,relative_token_pressure,latency_risk_score,operational_friction_score,cost_risk_band,main_cost_driver
pilot_100_tasks,"Controlled pilot, 100 tasks/month",codex_cli,Codex CLI,100,32.67,7.75,4.46,7.92,52.8,0.528,1.171,2.089,2.457,Moderate,latency_tuning
pilot_100_tasks,"Controlled pilot, 100 tasks/month",cline,Cline / Cline SDK,100,31.89,7.36,5.46,8.88,53.59,0.536,1.13,1.486,2.539,Moderate,governance
pilot_100_tasks,"Controlled pilot, 100 tasks/month",deep_agents,Deep Agents,100,36.02,7.98,4.91,8.75,57.65,0.577,1.2,1.783,2.669,Moderate,review_load
pilot_100_tasks,"Controlled pilot, 100 tasks/month",openhands_sdk,OpenHands Software Agent SDK,100,34.68,7.92,4.9,8.59,56.09,0.561,1.15,1.684,2.686,Moderate,review_load
pilot_100_tasks,"Controlled pilot, 100 tasks/month",open_swe,Open SWE,100,35.7,8.84,4.49,8.85,57.88,0.579,1.238,2.379,2.686,Moderate,administration
pilot_100_tasks,"Controlled pilot, 100 tasks/month",swe_agent,SWE-agent,100,38.16,8.32,5.06,8.53,60.07,0.601,0.944,1.82,2.807,Moderate,review_load
pilot_100_tasks,"Controlled pilot, 100 tasks/month",flue,Flue,100,37.39,8.27,5.04,9.2,59.9,0.599,1.145,1.763,2.875,Moderate,review_load
pilot_100_tasks,"Controlled pilot, 100 tasks/month",openhands_agent_canvas,OpenHands Agent Canvas,100,34.61,8.41,5.22,10.0,58.24,0.582,1.191,1.78,2.902,Moderate,failure_recovery
pilot_100_tasks,"Controlled pilot, 100 tasks/month",omnigent,Omnigent,100,35.02,9.44,4.76,10.69,59.92,0.599,1.204,2.175,2.932,Moderate,failure_recovery
pilot_100_tasks,"Controlled pilot, 100 tasks/month",goose,goose,100,34.73,8.15,5.88,9.57,58.33,0.583,1.005,1.456,2.984,Moderate,governance
pilot_100_tasks,"Controlled pilot, 100 tasks/month",opencode,OpenCode,100,33.47,8.12,6.22,9.76,57.57,0.576,1.09,1.548,2.987,Moderate,governance
pilot_100_tasks,"Controlled pilot, 100 tasks/month",aider,Aider,100,34.29,8.33,6.52,9.95,59.09,0.591,0.914,1.45,3.109,High,governance
pilot_100_tasks,"Controlled pilot, 100 tasks/month",sandcastle,Sandcastle,100,35.94,9.64,5.2,10.13,60.91,0.609,1.096,2.24,3.177,High,administration
pilot_100_tasks,"Controlled pilot, 100 tasks/month",mini_swe_agent,mini-SWE-agent,100,40.07,8.82,6.0,10.27,65.15,0.652,0.816,1.41,3.408,High,review_load
pilot_100_tasks,"Controlled pilot, 100 tasks/month",omni_agent,Omni Agent,100,41.78,11.35,5.64,13.15,71.91,0.719,1.169,2.913,3.558,High,failure_recovery
pilot_100_tasks,"Controlled pilot, 100 tasks/month",omniagent,OmniAgent,100,44.15,12.13,7.41,14.85,78.54,0.785,1.087,2.584,4.273,Very high,governance
pilot_100_tasks,"Controlled pilot, 100 tasks/month",anchor,Anchor,100,44.12,12.06,7.68,15.12,78.98,0.79,0.895,2.625,4.355,Very high,governance
team_rollout_400_tasks,"Team rollout, 400 tasks/month",codex_cli,Codex CLI,400,87.12,18.09,8.91,23.76,137.88,0.345,1.171,2.089,2.05,Moderate,latency_tuning
team_rollout_400_tasks,"Team rollout, 400 tasks/month",cline,Cline / Cline SDK,400,85.04,17.16,10.93,26.64,139.77,0.349,1.13,1.486,2.125,Moderate,governance
team_rollout_400_tasks,"Team rollout, 400 tasks/month",deep_agents,Deep Agents,400,96.04,18.62,9.82,26.24,150.72,0.377,1.2,1.783,2.225,Moderate,review_load
team_rollout_400_tasks,"Team rollout, 400 tasks/month",open_swe,Open SWE,400,95.2,20.62,8.98,26.56,151.36,0.378,1.238,2.379,2.241,Moderate,administration
team_rollout_400_tasks,"Team rollout, 400 tasks/month",openhands_sdk,OpenHands Software Agent SDK,400,92.48,18.48,9.81,25.76,146.53,0.366,1.15,1.684,2.254,Moderate,review_load
team_rollout_400_tasks,"Team rollout, 400 tasks/month",swe_agent,SWE-agent,400,101.76,19.4,10.11,25.6,156.88,0.392,0.944,1.82,2.344,Moderate,review_load
team_rollout_400_tasks,"Team rollout, 400 tasks/month",flue,Flue,400,99.72,19.29,10.07,27.6,156.68,0.392,1.145,1.763,2.414,Moderate,review_load
team_rollout_400_tasks,"Team rollout, 400 tasks/month",openhands_agent_canvas,OpenHands Agent Canvas,400,92.28,19.63,10.44,30.0,152.35,0.381,1.191,1.78,2.454,Moderate,failure_recovery
