scenario,operating_profile,rank,alternative_id,alternative,simulation_rank,simulation_score,operational_friction_score,monthly_operational_hours,relative_token_pressure,latency_risk_score,adjusted_score,rank_delta_vs_simulation
custom_orchestrator_platform,pilot_100_tasks,1,cline,Cline / Cline SDK,1,4.236764705882353,2.539,53.59,1.13,1.486,4.113644705882353,0
custom_orchestrator_platform,pilot_100_tasks,2,openhands_sdk,OpenHands Software Agent SDK,2,4.236029411764706,2.686,56.09,1.15,1.684,4.101149411764706,0
custom_orchestrator_platform,pilot_100_tasks,3,deep_agents,Deep Agents,3,4.213970588235294,2.669,57.65,1.2,1.783,4.080450588235294,0
custom_orchestrator_platform,pilot_100_tasks,4,open_swe,Open SWE,4,4.089705882352941,2.686,57.88,1.238,2.379,3.9548258823529414,0
custom_orchestrator_platform,pilot_100_tasks,5,codex_cli,Codex CLI,6,4.047794117647059,2.457,52.8,1.171,2.089,3.931234117647059,1
custom_orchestrator_platform,pilot_100_tasks,6,openhands_agent_canvas,OpenHands Agent Canvas,5,4.058088235294117,2.902,58.24,1.191,1.78,3.9059282352941174,-1
custom_orchestrator_platform,pilot_100_tasks,7,omnigent,Omnigent,7,4.026470588235294,2.932,59.92,1.204,2.175,3.871910588235294,0
custom_orchestrator_platform,pilot_100_tasks,8,flue,Flue,8,4.005147058823529,2.875,59.9,1.145,1.763,3.8551470588235293,0
custom_orchestrator_platform,pilot_100_tasks,9,opencode,OpenCode,9,3.923529411764706,2.987,57.57,1.09,1.548,3.764569411764706,0
custom_orchestrator_platform,pilot_100_tasks,10,goose,goose,10,3.8323529411764703,2.984,58.33,1.005,1.456,3.67363294117647,0
custom_orchestrator_platform,pilot_100_tasks,11,swe_agent,SWE-agent,11,3.709558823529412,2.807,60.07,0.944,1.82,3.5649988235294123,0
custom_orchestrator_platform,pilot_100_tasks,12,sandcastle,Sandcastle,12,3.5933823529411764,3.177,60.91,1.096,2.24,3.4192223529411763,0
custom_orchestrator_platform,pilot_100_tasks,13,aider,Aider,13,3.5323529411764705,3.109,59.09,0.914,1.45,3.3636329411764705,0
custom_orchestrator_platform,pilot_100_tasks,14,mini_swe_agent,mini-SWE-agent,14,3.361764705882353,3.408,65.15,0.816,1.41,3.169124705882353,0
custom_orchestrator_platform,pilot_100_tasks,15,omni_agent,Omni Agent,15,3.0330882352941178,3.558,71.91,1.169,2.913,2.828448235294118,0
custom_orchestrator_platform,pilot_100_tasks,16,omniagent,OmniAgent,16,2.486029411764706,4.273,78.54,1.087,2.584,2.2241894117647063,0
custom_orchestrator_platform,pilot_100_tasks,17,anchor,Anchor,17,1.788970588235294,4.355,78.98,0.895,2.625,1.520570588235294,0
custom_orchestrator_platform,team_rollout_400_tasks,1,cline,Cline / Cline SDK,1,4.236764705882353,2.125,139.77,1.13,1.486,4.101764705882354,0
custom_orchestrator_platform,team_rollout_400_tasks,2,openhands_sdk,OpenHands Software Agent SDK,2,4.236029411764706,2.254,146.53,1.15,1.684,4.085549411764706,0
custom_orchestrator_platform,team_rollout_400_tasks,3,deep_agents,Deep Agents,3,4.213970588235294,2.225,150.72,1.2,1.783,4.066970588235294,0
custom_orchestrator_platform,team_rollout_400_tasks,4,open_swe,Open SWE,4,4.089705882352941,2.241,151.36,1.238,2.379,3.9407858823529414,0
custom_orchestrator_platform,team_rollout_400_tasks,5,codex_cli,Codex CLI,6,4.047794117647059,2.05,137.88,1.171,2.089,3.921794117647059,1
custom_orchestrator_platform,team_rollout_400_tasks,6,openhands_agent_canvas,OpenHands Agent Canvas,5,4.058088235294117,2.454,152.35,1.191,1.78,3.8836082352941173,-1
custom_orchestrator_platform,team_rollout_400_tasks,7,omnigent,Omnigent,7,4.026470588235294,2.472,157.04,1.204,2.175,3.849830588235294,0
custom_orchestrator_platform,team_rollout_400_tasks,8,flue,Flue,8,4.005147058823529,2.414,156.68,1.145,1.763,3.835467058823529,0
custom_orchestrator_platform,team_rollout_400_tasks,9,opencode,OpenCode,9,3.923529411764706,2.541,149.91,1.09,1.548,3.738609411764706,0
custom_orchestrator_platform,team_rollout_400_tasks,10,goose,goose,10,3.8323529411764703,2.533,152.11,1.005,1.456,3.6483929411764704,0
custom_orchestrator_platform,team_rollout_400_tasks,11,swe_agent,SWE-agent,11,3.709558823529412,2.344,156.88,0.944,1.82,3.548278823529412,0
custom_orchestrator_platform,team_rollout_400_tasks,12,sandcastle,Sandcastle,12,3.5933823529411764,2.708,159.12,1.096,2.24,3.3884223529411766,0
custom_orchestrator_platform,team_rollout_400_tasks,13,aider,Aider,13,3.5323529411764705,2.65,153.77,0.914,1.45,3.3343529411764705,0
custom_orchestrator_platform,team_rollout_400_tasks,14,mini_swe_agent,mini-SWE-agent,14,3.361764705882353,2.906,170.22,0.816,1.41,3.133044705882353,0
custom_orchestrator_platform,team_rollout_400_tasks,15,omni_agent,Omni Agent,15,3.0330882352941178,3.008,188.61,1.169,2.913,2.792128235294118,0
custom_orchestrator_platform,team_rollout_400_tasks,16,omniagent,OmniAgent,16,2.486029411764706,3.669,205.41,1.087,2.584,2.1657494117647063,0
custom_orchestrator_platform,team_rollout_400_tasks,17,anchor,Anchor,17,1.788970588235294,3.747,206.5,0.895,2.625,1.459330588235294,0
custom_orchestrator_platform,autonomous_pr_1000_tasks,1,cline,Cline / Cline SDK,1,4.236764705882353,2.096,336.71,1.13,1.486,4.039484705882353,0
custom_orchestrator_platform,autonomous_pr_1000_tasks,2,openhands_sdk,OpenHands Software Agent SDK,2,4.236029411764706,2.215,348.84,1.15,1.684,4.017329411764706,0
custom_orchestrator_platform,autonomous_pr_1000_tasks,3,deep_agents,Deep Agents,3,4.213970588235294,2.185,358.53,1.2,1.783,4.000670588235294,0
custom_orchestrator_platform,autonomous_pr_1000_tasks,4,open_swe,Open SWE,4,4.089705882352941,2.2,360.06,1.238,2.379,3.873705882352941,0
custom_orchestrator_platform,autonomous_pr_1000_tasks,5,codex_cli,Codex CLI,6,4.047794117647059,2.011,327.1,1.171,2.089,3.865814117647059,1
custom_orchestrator_platform,autonomous_pr_1000_tasks,6,openhands_agent_canvas,OpenHands Agent Canvas,5,4.058088235294117,2.428,369.17,1.191,1.78,3.8010482352941173,-1
custom_orchestrator_platform,autonomous_pr_1000_tasks,7,omnigent,Omnigent,7,4.026470588235294,2.45,382.69,1.204,2.175,3.765470588235294,0
custom_orchestrator_platform,autonomous_pr_1000_tasks,8,flue,Flue,8,4.005147058823529,2.374,373.45,1.145,1.763,3.757827058823529,0
