scenario,top_candidate,comparison_rank,comparison_candidate,score_gap,estimated_top_success_rate,estimated_comparison_success_rate,tasks_per_candidate,simulation_trials,top_wins_probability,tie_probability,decision_confidence_target,recommendation
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,10,5000,0.3758,0.2268,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,20,5000,0.4194,0.1624,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,30,5000,0.4306,0.1356,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,40,5000,0.4458,0.1166,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,60,5000,0.4556,0.0942,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,10,5000,0.3894,0.23,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,20,5000,0.428,0.1602,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,30,5000,0.4442,0.1284,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,40,5000,0.4544,0.1172,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,60,5000,0.469,0.0934,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,10,5000,0.3904,0.2368,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,20,5000,0.4172,0.1576,0.8,Increase tasks or treat as unresolved
