scenario,alternative_id,alternative,deterministic_rank,deterministic_score,regret_vs_best,monte_carlo_mean_rank,win_rate,top3_rate
custom_orchestrator_platform,cline,Cline / Cline SDK,1,4.236764705882353,0.0,2.335,0.3118,0.8304
custom_orchestrator_platform,openhands_sdk,OpenHands Software Agent SDK,2,4.236029411764706,0.0007352941176472783,2.2516,0.327,0.8508
custom_orchestrator_platform,deep_agents,Deep Agents,3,4.213970588235294,0.02279411764705941,3.2244,0.2306,0.617
custom_orchestrator_platform,open_swe,Open SWE,4,4.089705882352941,0.14705882352941213,5.3806,0.0432,0.2168
custom_orchestrator_platform,openhands_agent_canvas,OpenHands Agent Canvas,5,4.058088235294117,0.1786764705882362,5.8338,0.0354,0.1792
custom_orchestrator_platform,codex_cli,Codex CLI,6,4.047794117647059,0.18897058823529456,5.6518,0.0062,0.0896
custom_orchestrator_platform,omnigent,Omnigent,7,4.026470588235294,0.2102941176470594,7.6578,0.0312,0.112
custom_orchestrator_platform,flue,Flue,8,4.005147058823529,0.23161764705882426,6.4578,0.0146,0.097
custom_orchestrator_platform,opencode,OpenCode,9,3.923529411764706,0.3132352941176473,7.7756,0.0,0.0066
custom_orchestrator_platform,goose,goose,10,3.8323529411764703,0.40441176470588314,9.323,0.0,0.0004
custom_orchestrator_platform,swe_agent,SWE-agent,11,3.709558823529412,0.5272058823529413,10.8098,0.0,0.0
custom_orchestrator_platform,sandcastle,Sandcastle,12,3.5933823529411764,0.6433823529411771,12.02,0.0,0.0
custom_orchestrator_platform,aider,Aider,13,3.5323529411764705,0.704411764705883,12.6646,0.0,0.0
custom_orchestrator_platform,mini_swe_agent,mini-SWE-agent,14,3.361764705882353,0.8750000000000004,13.8816,0.0,0.0
custom_orchestrator_platform,omni_agent,Omni Agent,15,3.0330882352941178,1.2036764705882357,14.8464,0.0,0.0002
custom_orchestrator_platform,omniagent,OmniAgent,16,2.486029411764706,1.7507352941176473,15.9484,0.0,0.0
custom_orchestrator_platform,anchor,Anchor,17,1.788970588235294,2.4477941176470592,16.9378,0.0,0.0
enterprise_control_plane,cline,Cline / Cline SDK,1,4.276712328767124,0.0,1.8022,0.5084,0.9236
enterprise_control_plane,openhands_sdk,OpenHands Software Agent SDK,2,4.213013698630137,0.06369863013698662,2.605,0.2012,0.7814
enterprise_control_plane,deep_agents,Deep Agents,3,4.184246575342466,0.09246575342465757,3.6032,0.1574,0.5328
enterprise_control_plane,codex_cli,Codex CLI,4,4.08972602739726,0.18698630136986338,4.7742,0.0168,0.216
enterprise_control_plane,open_swe,Open SWE,5,4.066438356164383,0.2102739726027405,5.6748,0.033,0.1696
enterprise_control_plane,openhands_agent_canvas,OpenHands Agent Canvas,6,4.061643835616438,0.2150684931506852,5.6184,0.0442,0.2086
